검색어,제목,저자,출판사,출판년,청구기호,자료유형,총서명,소장처,대출상태,서지ID,상세URL
경제학,(글로벌·지식·경제시대의) 경제학,송병락,博英社,2001,330 송44ㄱ,단행본,,2관3층 일반도서,대출가능,CATTOC000000188315,https://library.sogang.ac.kr/search/detail/CATTOC000000188315
경제학,경제학 읽을거리,안국신,율곡,2000,330 안17ㄱ,단행본,,2관3층 일반도서,대출가능,CATTOC000000176563,https://library.sogang.ac.kr/search/detail/CATTOC000000176563
경제학,(김기원의) 경제학 포털,김기원,필맥,2006,330.02 김191ㄱ,단행본,,2관3층 일반도서,대출가능,CATTOC000000540045,https://library.sogang.ac.kr/search/detail/CATTOC000000540045
경제학,로하스 경제학,김민주,미래의 창,2006,LA 658.4083 김39ㄹ,단행본,,법학전문도서관 단행본서가,대출가능,CATTOC000000540119,https://library.sogang.ac.kr/search/detail/CATTOC000000540119
경제학,열린 경제학,이준구,삼성,1995,330.02 이77ㅇ,단행본,,2관3층 일반도서,대출가능,CATTOC000000001574,https://library.sogang.ac.kr/search/detail/CATTOC000000001574
경제학,(맨큐의) 경제학,"Mankiw, N. Gregory",교보문고,2001,330 M278p 2001/ K,단행본,,보관서고(대출실) 자료이용은 대출실로 문의 | 2관3층 일반도서,대출가능 | 상세정보확인,CATTOC000000416886,https://library.sogang.ac.kr/search/detail/CATTOC000000416886
경제학,거시 경제학,양종기,원,2008,339 양75ㄱ,단행본,,2관3층 일반도서,대출가능,CATTOC000000587521,https://library.sogang.ac.kr/search/detail/CATTOC000000587521
경제학,관리 경제학,오세열,청목출판사,2002,658.155 오53ㄱ,단행본,,2관5층 일반도서,대출가능,CATTOC000000429888,https://library.sogang.ac.kr/search/detail/CATTOC000000429888
경제학,(통계와 함께 배우는) 경제학,노택선,해남,2005,330 노832ㄱ,단행본,,2관3층 일반도서,대출가능,CATTOC000000528770,https://library.sogang.ac.kr/search/detail/CATTOC000000528770
경제학,(한국인을 위한) 경제학,이근,博英社,2001,330 이18ㄱ,단행본,,2관3층 일반도서,대출가능,CATTOC000000374258,https://library.sogang.ac.kr/search/detail/CATTOC000000374258
역사,역사,이이화,열림원,2007,951 이691ㅇㅅ,단행본,,3관4층 일반도서,대출가능,CATTOC000000565108,https://library.sogang.ac.kr/search/detail/CATTOC000000565108
역사,전쟁과 역사,임용한,혜안,2001,951 임66ㅈ,단행본,,3관4층 일반도서,대출가능,CATTOC000000407464,https://library.sogang.ac.kr/search/detail/CATTOC000000407464
역사,스페인 역사,,빛샘,1993,946 스843,단행본,,보관서고(대출실) 자료이용은 대출실로 문의 | 3관4층 일반도서,대출가능 | 대출가능,CATTOC000000107233,https://library.sogang.ac.kr/search/detail/CATTOC000000107233
역사,역사의 역사,유시민,돌베개,2018,900 유59ㅇ,단행본,,2관6층 일반도서,대출가능,CATTOC000000840433,https://library.sogang.ac.kr/search/detail/CATTOC000000840433
역사,한국역사,한국역사연구회,역사비평사,1992,951 한1761ㅎㄱ,단행본,,3관4층 일반도서,대출가능,CATTOC000000106885,https://library.sogang.ac.kr/search/detail/CATTOC000000106885
역사,이스라엘 역사,정중호,대한기독교서회,1994,956.94 정77ㅇ,단행본,,3관4층 일반도서,대출가능,CATTOC000000109797,https://library.sogang.ac.kr/search/detail/CATTOC000000109797
역사,역사학의 역사,한영우,지식산업사,2002,901 한64ㅇ,단행본,,2관6층 일반도서,대출가능,CATTOC000000476867,https://library.sogang.ac.kr/search/detail/CATTOC000000476867
역사,역사 속의 역사,박한실,박우사,1997,920.051 박91ㅇ,단행본,,2관6층 일반도서,대출가능,CATTOC000000286046,https://library.sogang.ac.kr/search/detail/CATTOC000000286046
역사,역사교육과 역사인식,김한종,책과함께,2005,907 역515,단행본,,2관6층 일반도서,대출가능,CATTOC000000506773,https://library.sogang.ac.kr/search/detail/CATTOC000000506773
역사,역사에세이,정옥자,문이당,1996,951.02 정65ㅇ,단행본,,3관4층 일반도서,대출가능,CATTOC000000170145,https://library.sogang.ac.kr/search/detail/CATTOC000000170145
역사,"역사, 위험한 거울",김현식,푸른역사,2001,901 김94ㅇㅅ,단행본,,2관6층 일반도서,대출가능,CATTOC000000405927,https://library.sogang.ac.kr/search/detail/CATTOC000000405927
역사,역사와 우연,최성철,길,2016,901 최53ㅇ,단행본,역사도서관,2관6층 일반도서,대출가능,CATTOC000000792357,https://library.sogang.ac.kr/search/detail/CATTOC000000792357
역사,신화와 역사,서울대학교. 종교문제연구소,서울대학교,2003,291.13 신96,단행본,,2관3층 일반도서,대출가능,CATTOC000000476434,https://library.sogang.ac.kr/search/detail/CATTOC000000476434
역사,일본역사,연민수,보고사,1998,953 연39ㅇ,단행본,,3관4층 일반도서,대출가능,CATTOC000000326671,https://library.sogang.ac.kr/search/detail/CATTOC000000326671
역사,미의 역사,"Eco, Umberto",열린책들,2005,111.85 E19s K,단행본,,1관4층 일반도서,대출가능,CATTOC000000516669,https://library.sogang.ac.kr/search/detail/CATTOC000000516669
역사,추의 역사,"Eco, Umberto",열린책들,2008,111.85 S884 K,단행본,,1관4층 일반도서,대출가능,CATTOC000000605551,https://library.sogang.ac.kr/search/detail/CATTOC000000605551
역사,역사철학,김형석,철학과현실사,1993,901 김94ㅇ,단행본,,2관6층 일반도서,대출가능,CATTOC000000105606,https://library.sogang.ac.kr/search/detail/CATTOC000000105606
역사,스파이의 역사,"Volkman, Ernest",이마고,2003,보관서고,단행본,,법학전문도서관 데스크로 문의 [LA 327.120904 V919e K],대출가능,CATTOC000000471972,https://library.sogang.ac.kr/search/detail/CATTOC000000471972
역사,역사전쟁,윤명철,안그라픽스,2004,951.31 윤34ㅇ,단행본,,3관4층 일반도서,대출가능,CATTOC000000524633,https://library.sogang.ac.kr/search/detail/CATTOC000000524633
역사,고구려의 역사,이종욱,김영사,2005,951.32 이75ㄱ,단행본,,3관4층 일반도서,대출가능,CATTOC000000510418,https://library.sogang.ac.kr/search/detail/CATTOC000000510418
문학,문학인,,시공사,2002-,P 811.05 문915,연속간행물,,3관4층 정기간행물,대출불가,CATTOC000000437976,https://library.sogang.ac.kr/search/detail/CATTOC000000437976
문학,법과 문학,박상엽,세창,2000,809.93355 박51ㅂ,단행본,,2관5층 일반도서,대출가능,CATTOC000000177924,https://library.sogang.ac.kr/search/detail/CATTOC000000177924
문학,文學槪論,김원경,學文社,1994,801 김67ㅁ 1994,단행본,,2관5층 일반도서,대출가능,CATTOC000000091167,https://library.sogang.ac.kr/search/detail/CATTOC000000091167
문학,문학인,,소명출판,2021-,P 811.05 문9155,연속간행물,,3관4층 정기간행물,상세정보확인,CATTOC000001021009,https://library.sogang.ac.kr/search/detail/CATTOC000001021009
문학,문학과 문학교육,문학과문학교육연구소,푸른사상,2001,807 문9116,단행본,,2관5층 일반도서,대출가능,CATTOC000000369396,https://library.sogang.ac.kr/search/detail/CATTOC000000369396
문학,鄕歌文學,김준영,螢雪,1987,811.102 김77ㅎㅁ,단행본,,2관5층 일반도서,대출가능,CATTOC000000092907,https://library.sogang.ac.kr/search/detail/CATTOC000000092907
문학,文學槪論,박철희,螢雪出版社,1975,801 박814ㅁ,단행본,,보관서고(대출실) 자료이용은 대출실로 문의 | 2관5층 일반도서,대출가능 | 대출가능,CATTOC000000091184,https://library.sogang.ac.kr/search/detail/CATTOC000000091184
문학,文學槪論,윤명구,現代文學,1988,801 문911,단행본,,2관5층 일반도서,대출가능,CATTOC000000091174,https://library.sogang.ac.kr/search/detail/CATTOC000000091174
문학,文學,,文學社,1959-,PCL 805 문91문,연속간행물,,자료이용은 1관 3층 참고서비스데스크로 문의,대출불가,CATTOC000000266579,https://library.sogang.ac.kr/search/detail/CATTOC000000266579
문학,文學,,文學社,1966-,P 805 문91,연속간행물,,3관4층 정기간행물,대출불가,CATTOC000000266577,https://library.sogang.ac.kr/search/detail/CATTOC000000266577
문학,종교와 문학,한국종교학회,소나무,1991,811.09382 한17ㅈ,단행본,,2관5층 일반도서,대출가능,CATTOC000000092737,https://library.sogang.ac.kr/search/detail/CATTOC000000092737
문학,(고등학교) 문학,구인환,교학사,2005,811 문9114,단행본,,2관5층 일반도서,대출가능,CATTOC000000509281,https://library.sogang.ac.kr/search/detail/CATTOC000000509281
문학,중국 문학 입문,김장환,학고방,1999,812 김71ㅈ,단행본,,2관5층 일반도서,대출가능,CATTOC000000351176,https://library.sogang.ac.kr/search/detail/CATTOC000000351176
문학,춘원문학,이광수,성한,1991,811.36 이16 1991,단행본,,2관5층 일반도서,대출가능,CATTOC000000342323,https://library.sogang.ac.kr/search/detail/CATTOC000000342323
문학,文學人,문학인동인회,文學人同人會,1956-,PCL 811.05 문91문,연속간행물,,자료이용은 1관 3층 참고서비스데스크로 문의,대출불가,CATTOC000000266467,https://library.sogang.ac.kr/search/detail/CATTOC000000266467
문학,문학치료,변학수,학지사,2005,616.89166 변91ㅁ,단행본,,2관4층 일반도서,대출가능,CATTOC000000562303,https://library.sogang.ac.kr/search/detail/CATTOC000000562303
문학,문학생태학,채수영,새미,1997,811.09 채57ㅁ,단행본,,2관5층 일반도서,대출가능,CATTOC000000287793,https://library.sogang.ac.kr/search/detail/CATTOC000000287793
문학,구비문학,서대석,해냄,1997,811.08 한179 v.3,단행본,한국문학총서,보관서고(대출실) 자료이용은 대출실로 문의 | 2관5층 일반도서,대출가능 | 대출가능,CATTOC000000269491,https://library.sogang.ac.kr/search/detail/CATTOC000000269491
문학,수사학과 문학,박우수,동인,1999,808 박67ㅅㅎ,단행본,,2관5층 일반도서,대출가능,CATTOC000000337763,https://library.sogang.ac.kr/search/detail/CATTOC000000337763
문학,文學評傳,송욱,一潮閣,1969,809 송57ㅁ,단행본,,2관5층 일반도서,대출가능,CATTOC000000091894,https://library.sogang.ac.kr/search/detail/CATTOC000000091894
물리학,物理學,전용기,형설,1998,530 전66ㅁ,단행본,,2관4층 일반도서,대출가능,CATTOC000000328159,https://library.sogang.ac.kr/search/detail/CATTOC000000328159
물리학,物理學,"Hausmann, Erich",靑丘文化社,1953,530 H376p K,단행본,,2관4층 일반도서,대출가능,CATTOC000000081558,https://library.sogang.ac.kr/search/detail/CATTOC000000081558
물리학,物理學,대학교육물리학연구회,共立出版株式會社,1951,530 대91ㅁ,단행본,,2관4층 일반도서,대출가능,CATTOC000000081498,https://library.sogang.ac.kr/search/detail/CATTOC000000081498
물리학,일반 물리학,박홍이,청범,2005,530 일417,단행본,,2관4층 일반도서,대출가능,CATTOC000000558568,https://library.sogang.ac.kr/search/detail/CATTOC000000558568
물리학,物理學,"Orear, Jay",光林社,1982,530 O 66p K,단행본,,2관4층 일반도서,대출가능,CATTOC000000081564,https://library.sogang.ac.kr/search/detail/CATTOC000000081564
물리학,物理學,"Orear, Jay",大方文化社,1982,530 O66p 1982/K,단행본,,2관4층 일반도서,대출가능,CATTOC000000081565,https://library.sogang.ac.kr/search/detail/CATTOC000000081565
물리학,一般物理學,일반물리학교재연구회,光林社,1988,530 일41ㅇ,단행본,,2관4층 일반도서,대출가능,CATTOC000000081526,https://library.sogang.ac.kr/search/detail/CATTOC000000081526
물리학,물리학,"Kolin, Alexander",한국 번역도서 주식회사,1960,530 K81p K,단행본,,2관4층 일반도서,대출가능,CATTOC000000081559,https://library.sogang.ac.kr/search/detail/CATTOC000000081559
물리학,수리물리학,정원상,경문사,1996,530.15 정67ㅅ,단행본,,2관4층 일반도서,대출가능,CATTOC000000239756,https://library.sogang.ac.kr/search/detail/CATTOC000000239756
물리학,일반물리학,김태만,형설,1991,530 일413,단행본,,2관4층 일반도서,상세정보확인,CATTOC000000081527,https://library.sogang.ac.kr/search/detail/CATTOC000000081527
물리학,일반물리학,김엽,형설,1992,530 일414,단행본,,2관4층 일반도서,대출가능,CATTOC000000081528,https://library.sogang.ac.kr/search/detail/CATTOC000000081528
물리학,물리학길라잡이,소광섭,청범,2005,530 물2392,단행본,,2관4층 일반도서,대출가능,CATTOC000000558241,https://library.sogang.ac.kr/search/detail/CATTOC000000558241
물리학,現代物理學,조경철,二友,1984,539 조14ㅎ,단행본,,2관4층 일반도서,대출가능,CATTOC000000081813,https://library.sogang.ac.kr/search/detail/CATTOC000000081813
물리학,물리학이 즐겁다,곽영직,민음사,1996,530.02 곽64ㅁ,단행본,,2관4층 일반도서,대출가능,CATTOC000000241647,https://library.sogang.ac.kr/search/detail/CATTOC000000241647
물리학,물리학 길라잡이,소광섭,청범,2009,530 물2392 2009,단행본,,2관4층 일반도서,대출가능,CATTOC000000609339,https://library.sogang.ac.kr/search/detail/CATTOC000000609339
물리학,대학물리학,"Arfken, George B",형설,1987,530 대911 K,단행본,,2관4층 일반도서,대출가능,CATTOC000000081500,https://library.sogang.ac.kr/search/detail/CATTOC000000081500
물리학,수리 물리학,강주상,휴먼싸이언스,2009,530.15 강77ㅅ,단행본,,2관4층 일반도서,상세정보확인,CATTOC000000663112,https://library.sogang.ac.kr/search/detail/CATTOC000000663112
물리학,固體物理學,김형국,淸文閣,1993,530.41 고8134,단행본,,2관4층 일반도서,대출가능,CATTOC000000081677,https://library.sogang.ac.kr/search/detail/CATTOC000000081677
물리학,物理學實驗,정진덕,淸文閣,1993,530.72 물239,단행본,,2관4층 일반도서,대출가능,CATTOC000000081687,https://library.sogang.ac.kr/search/detail/CATTOC000000081687
물리학,일반 물리학 실험,김태만,형설,1992,530.028 일414,단행본,,2관4층 일반도서,대출가능,CATTOC000000081601,https://library.sogang.ac.kr/search/detail/CATTOC000000081601
